地震時間	經度	緯度	規模	深度
2021/6/29 13:30	122.18	24.53	4.96	71.13
2021/6/23 13:40	121.5	24.07	4.88	23.63
2021/6/20 15:03	121.83	24.55	4.02	9.82
2021/6/12 05:58	121.06	22.65	5.33	5.93
2021/6/11 16:55	121.56	23.87	4.2	10.65
2021/6/11 16:53	121.56	23.87	4.34	10.94
2021/6/11 15:36	121.52	23.89	4.94	10.78
2021/6/11 15:34	121.49	23.88	4.1	8.43
2021/6/11 15:33	121.53	23.89	5.46	10.62
2021/6/11 13:14	121.52	23.89	4.5	9.9
2021/6/11 13:12	121.52	23.9	5.12	11.32
2021/6/10 06:42	121.54	23.91	4.45	11.97
2021/5/26 00:48	121.49	23.94	5.01	20.19
2021/5/23 03:57	121.46	23.88	4.49	22.68
2021/5/19 13:00	121.9	24.8	4.27	12.35
2021/5/19 01:54	121.36	22.59	4.18	33.82
2021/5/13 16:38	121.47	23.07	4.04	38.54
2021/5/8 12:35	121.46	23.93	4.06	19.65
2021/5/8 09:04	120.82	22.74	4.31	4.06
2021/5/8 05:24	120.82	22.73	4.65	3.61
2021/5/6 21:48	121.32	22.16	4.18	35.57
2021/5/5 06:42	121.37	22.9	4.36	33.16
2021/4/29 22:35	121.66	21.87	4.88	29.54
2021/4/29 22:32	121.7	21.82	4.78	30.02
2021/4/29 06:30	121.48	23.93	4.08	18.65
2021/4/28 07:35	120.93	23.14	4.1	1.66
2021/4/28 06:10	120.92	23.15	4.81	1.56
2021/4/28 05:48	120.92	23.16	4.13	1.49
2021/4/28 04:27	120.92	23.16	4.18	1.01
2021/4/21 18:55	122.27	24.78	4.44	10.31
2021/4/21 11:01	121.44	23.82	4.05	14.68
2021/4/20 15:59	120.73	23.59	4.39	16.88
2021/4/18 22:14	121.48	23.86	6.26	14.42
2021/4/18 22:11	121.44	23.89	4.58	13.47
2021/4/18 22:11	121.48	23.87	5.8	16.3
2021/4/16 15:28	121.47	23.3	4.65	33.7
2021/4/15 02:09	122.02	24.83	4.54	14.67
2021/4/15 00:36	121.57	21.97	4.08	17.74
2021/4/12 09:08	121.68	24.01	4.09	30.17
2021/4/10 12:47	121.32	22.68	4.56	22.9
2021/4/8 00:28	121.95	24.39	4.37	28.44
2021/4/7 21:19	121.46	23.85	4.94	17.38
2021/4/2 13:50	121.07	22.5	4.1	24.58
2021/3/30 06:06	122.02	24.81	4.01	13.72
2021/3/28 14:41	122.75	24.54	5.54	94.66
2021/3/26 05:30	121.29	22.62	4.61	30.91
2021/3/25 01:02	121.28	22.84	4.23	18.03
2021/3/17 04:13	121.92	24.39	4.31	23.91
2021/3/14 20:30	121.43	23.17	4.06	26.1
2021/3/9 09:13	121.49	21.84	4.43	18.17
2021/3/9 09:07	121.52	21.88	4.85	23.94
2021/3/8 20:25	122.27	24.77	4.3	13.85
2021/3/8 09:39	121.38	23.24	4.03	20.4
2021/3/4 22:24	122.26	24.77	5.07	9.04
2021/3/2 17:23	121.16	21.91	5.89	27.63
2021/3/2 13:50	120.43	21.99	4.32	40.04
2021/2/25 04:09	121.98	24.69	4.77	59.48
2021/2/22 09:50	121.56	22.62	5.31	107.89
2021/2/21 01:58	121.52	24.08	4.06	21.15
2021/2/18 02:38	121.38	22.24	5.25	21.68
2021/2/17 20:07	121.2	22.97	4.23	7.5
2021/2/14 12:25	121.47	23.14	4.5	41.34
2021/2/11 18:39	121.34	23.37	4.49	42.56
2021/2/9 00:58	122.02	24.37	5.67	24.67
2021/2/9 00:56	122.36	24.36	5.58	70.04
2021/2/8 06:16	121.97	24.39	4.44	27.2
2021/2/7 01:36	122.61	24.66	6.21	111.27
2021/2/6 18:27	120.97	22.55	4.3	15.05
2021/2/4 20:06	120.7	23.16	4	7.33
2021/2/4 16:14	121.87	21.47	5.77	50.36
2021/1/31 18:12	121.35	22.99	4	38.7
2021/1/28 16:05	120.97	22.54	4.21	9.01
2021/1/28 15:29	120.98	22.54	5.16	9.12
2021/1/25 19:39	122.19	24.83	5.04	100.4
2021/1/24 16:33	120.41	22.76	4.18	31.77
2021/1/23 11:45	120.98	22.53	4.42	8.95
2021/1/17 07:10	121.35	22.54	5.51	21.1
2021/1/10 11:23	121.44	23.78	4.97	13.67
2021/1/9 19:35	122.02	24.73	5.84	72
2021/1/8 23:27	121.9	24.42	4.02	24.18
2021/1/8 17:04	121.52	21.99	4.18	12.84
2021/1/7 14:01	121.89	24.43	4.1	19.93
2021/1/6 04:11	121.44	23.79	4.34	14.07
2021/1/6 04:09	121.45	23.79	4.34	13.62
2021/1/1 01:42	121.79	24.53	4.51	65.16
2020/12/31 06:30	121.04	22.44	4.39	9.4
2020/12/26 08:28	120.41	22.64	4.23	34.92
2020/12/19 09:17	121.64	23.95	4.03	29.88
2020/12/15 02:45	122.02	24.72	4.49	67.8
2020/12/11 02:15	121.97	24.53	5.75	62.74
2020/12/10 21:27	122.01	24.72	4.79	73.32
2020/12/10 21:19	122	24.74	6.64	75.71
2020/12/10 13:29	121.55	23.45	5.43	38.02
2020/12/2 16:46	120.69	22.18	4.01	31.3
2020/11/30 09:57	121.55	24.82	4.35	85.3
2020/11/29 21:42	122.25	24.2	5.23	31.77
2020/11/26 23:54	121.92	24.69	4.4	78.15
2020/11/17 04:14	121.01	21.51	5.01	32.44
2020/11/17 02:37	121.03	21.6	4.86	37.84
2020/11/16 15:19	121.28	21.98	5.38	68.24
2020/11/13 19:15	122.04	21.71	4.81	20.61
2020/11/13 03:54	121.83	21.51	4.47	22.69
2020/11/12 15:54	121.85	21.58	4.16	45.61
2020/11/12 06:48	121.76	21.56	4.04	39.02
2020/11/12 05:35	121.77	21.54	5	47.9
2020/11/12 05:33	121.83	21.6	5.33	33.47
2020/11/11 13:40	121.95	21.58	4.21	42.9
2020/11/8 10:45	121.01	22.61	4.13	7.38
2020/11/7 20:01	121.9	24.5	4.36	11.15
2020/11/6 09:40	122.12	23.11	5.66	37.1
2020/11/6 02:36	121.37	22.6	5.43	25.85
2020/11/4 21:19	121.98	24.66	4.14	61.09
2020/11/4 01:59	121.83	21.19	5.32	123.5
2020/10/30 20:09	121.82	24.25	4.16	17.86
2020/10/26 09:08	121.84	24.58	4.72	63.65
